arm,arm_label,seed,env,task_id,status,success,gt_steps,executed_steps,exec_over_gt,wall_clock_s,total_llm_calls,oracle_calls,repair_calls,executor_calls,judge_calls,prompt_tokens,completion_tokens,total_tokens,llm_latency_s,verify_mode,z3_checks,z3_unsat_events,shadow_unsat_events,repair_mode,repair_attempts,repair_successes,escalations,cdcl_enabled,clauses_learned,outer_iters,oracle_plans,termination_reason,deadlocked,validator_rejections,forbidden_rejections,hard_bans,goal,git_sha,model,temperature,timestamp
folbp,"FOLBP (full, ours)",0,env0,0,completed,True,5,5,1.0,9.711,2,2,0,0,0,5730,175,5905,9.131,z3,4,2,0,symbolic,2,2,0,True,1,2,2,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:29:57+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,0,completed,True,5,5,1.0,21.4,4,2,2,0,0,10923,466,11389,20.74,z3,4,2,0,llm,2,2,0,True,1,2,2,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:08+0530
folbp-naive,naive one-shot,0,env0,0,completed,False,5,1,,4.848,1,1,0,0,0,2818,88,2906,4.708,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:09+0530
folbp-no-cdcl,- CDCL,0,env0,0,completed,True,5,5,1.0,9.536,2,2,0,0,0,5626,175,5801,8.546,z3,4,2,0,symbolic,2,2,0,False,0,2,2,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:29:56+0530
folbp-prompt-only,- verification,0,env0,0,completed,True,5,5,1.0,12.613,3,3,0,0,0,8610,237,8847,12.565,none,0,0,0,none,0,0,0,False,0,3,3,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:29:59+0530
pefa,PEFA (baseline),0,env0,0,completed,True,5,5,1.0,95.544,25,10,0,10,5,40171,1795,41966,95.51,,,,,,,,,,,,,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:49:28+0530
folbp,"FOLBP (full, ours)",0,env0,1,completed,True,4,4,1.0,5.548,1,1,0,0,0,3038,117,3155,5.505,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(13).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:10+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,1,completed,True,4,4,1.0,6.816,1,1,0,0,0,3038,117,3155,6.552,z3,1,0,0,llm,0,0,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(13).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:21+0530
folbp-naive,naive one-shot,0,env0,1,completed,True,4,4,1.0,6.665,1,1,0,0,0,3038,117,3155,6.613,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(13).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:23+0530
folbp-no-cdcl,- CDCL,0,env0,1,completed,True,4,4,1.0,6.895,1,1,0,0,0,3038,117,3155,6.822,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(13).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:22+0530
folbp-prompt-only,- verification,0,env0,1,completed,True,4,4,1.0,6.769,1,1,0,0,0,3038,117,3155,6.738,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(13).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:14+0530
pefa,PEFA (baseline),0,env0,1,completed,True,4,4,1.0,69.77,20,8,0,8,4,32034,855,32889,69.747,,,,,,,,,,,,,,,,,,['The <quadrotor>(22) lands on the <dining table>(13).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T22:54:47+0530
folbp,"FOLBP (full, ours)",0,env0,2,completed,True,5,5,1.0,12.227,1,1,0,0,0,3397,151,3548,12.138,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['Put the <bread>(26) into the <plate>(51) which is on the <dining table>(13) and put the <milkbox>(30) into the <microwave>(15). The <bread>(26) is originally in the <microwave>(15).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:32+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,2,completed,True,5,5,1.0,10.993,1,1,0,0,0,3397,151,3548,10.911,z3,1,0,0,llm,0,0,0,True,0,1,1,,,,,,['Put the <bread>(26) into the <plate>(51) which is on the <dining table>(13) and put the <milkbox>(30) into the <microwave>(15). The <bread>(26) is originally in the <microwave>(15).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:39+0530
folbp-naive,naive one-shot,0,env0,2,completed,True,5,5,1.0,12.408,1,1,0,0,0,3397,171,3568,12.333,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <bread>(26) into the <plate>(51) which is on the <dining table>(13) and put the <milkbox>(30) into the <microwave>(15). The <bread>(26) is originally in the <microwave>(15).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:49+0530
folbp-no-cdcl,- CDCL,0,env0,2,completed,True,5,5,1.0,11.106,1,1,0,0,0,3397,171,3568,11.061,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['Put the <bread>(26) into the <plate>(51) which is on the <dining table>(13) and put the <milkbox>(30) into the <microwave>(15). The <bread>(26) is originally in the <microwave>(15).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:39+0530
folbp-prompt-only,- verification,0,env0,2,completed,True,5,5,1.0,10.972,1,1,0,0,0,3397,151,3548,10.932,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <bread>(26) into the <plate>(51) which is on the <dining table>(13) and put the <milkbox>(30) into the <microwave>(15). The <bread>(26) is originally in the <microwave>(15).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:38+0530
pefa,PEFA (baseline),0,env0,2,completed,True,5,5,1.0,85.788,25,10,0,10,5,42156,1691,43847,85.761,,,,,,,,,,,,,,,,,,['Put the <bread>(26) into the <plate>(51) which is on the <dining table>(13) and put the <milkbox>(30) into the <microwave>(15). The <bread>(26) is originally in the <microwave>(15).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:50:02+0530
folbp,"FOLBP (full, ours)",0,env0,3,completed,True,4,4,1.0,5.936,1,1,0,0,0,3401,121,3522,5.849,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['Put the <silver coin>(48) and <battery>(39) into the <box>(52).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:51+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,3,completed,True,4,4,1.0,5.677,1,1,0,0,0,3401,121,3522,5.479,z3,1,0,0,llm,0,0,0,True,0,1,1,,,,,,['Put the <silver coin>(48) and <battery>(39) into the <box>(52).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:51+0530
folbp-naive,naive one-shot,0,env0,3,completed,True,4,4,1.0,6.195,1,1,0,0,0,3401,121,3522,6.12,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <silver coin>(48) and <battery>(39) into the <box>(52).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:02+0530
